Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
DMART,EQ,913.95,914.0,934.4,905.0,909.15,910.3,918.89,1206562,110869460380000.0,29715,330186,0.2737
DMART,EQ,910.3,915.0,933.7,910.25,911.5,915.15,921.52,1139296,104988818120000.0,33192,274379,0.2408
DMART,EQ,915.15,920.0,921.9,872.5,890.0,891.35,895.93,1325017,118711797445000.0,37765,427404,0.3226
DMART,EQ,891.35,894.9,917.7,886.05,913.5,911.7,905.36,951306,86127447565000.0,25320,235903,0.24800000000000003
DMART,EQ,911.7,908.9,920.0,901.05,913.0,910.65,911.57,509382,46433964320000.0,20787,111282,0.21850000000000003
DMART,EQ,910.65,914.2,924.95,907.45,911.1,911.7,917.72,524342,48119811530000.0,16594,180495,0.3442
DMART,EQ,911.7,914.8,918.8,905.1,908.0,909.2,911.09,504126,45930189480000.0,17108,165473,0.3282
DMART,EQ,909.2,912.5,921.0,907.0,914.0,914.75,915.14,648124,59312103850000.0,12822,318649,0.4916
DMART,EQ,914.75,937.0,964.0,911.0,912.95,916.55,935.9,2518684,235723251785000.0,64880,719032,0.28550000000000003
DMART,EQ,916.55,917.5,933.3,905.65,929.25,925.65,919.73,1018767,93699515845000.0,28176,375825,0.3689
DMART,EQ,925.65,930.0,932.9,893.0,906.0,909.6,909.03,1512281,137471299380000.0,41027,698587,0.4619
DMART,EQ,909.6,907.9,915.0,892.4,894.5,896.9,903.66,534158,48269643700000.0,17032,159092,0.2978
DMART,EQ,896.9,894.0,908.0,888.1,898.0,898.55,899.81,501864,45158222610000.0,13095,123729,0.2465
DMART,EQ,898.55,904.0,925.5,897.0,920.4,919.7,913.92,925153,84551825590000.0,29892,289846,0.31329999999999997
DMART,EQ,919.7,921.0,930.0,913.1,914.0,916.05,920.1,388020,35701537620000.0,11740,117614,0.3031
DMART,EQ,916.05,914.5,919.0,902.25,903.75,906.8,910.72,230945,21032550490000.0,7831,69553,0.3012
DMART,EQ,906.8,905.95,909.9,895.0,897.05,898.1,902.86,242241,21870861270000.0,9323,69078,0.2852
DMART,EQ,898.1,898.9,922.4,894.25,920.0,911.35,907.5,649179,58913128470000.01,15775,380885,0.5867
DMART,EQ,911.35,921.0,933.0,915.0,922.1,923.8,924.74,418558,38705644980000.0,10396,149886,0.35810000000000003
DMART,EQ,923.8,923.0,927.65,900.0,901.0,902.3,909.46,372966,33919878695000.0,12453,156977,0.42090000000000005
DMART,EQ,902.3,901.0,910.9,882.4,888.0,889.25,896.18,358608,32137554960000.004,13518,133783,0.37310000000000004
DMART,EQ,889.25,888.8,894.85,871.1,885.0,880.8,882.86,359649,31752060750000.0,13761,149943,0.4169
DMART,EQ,880.8,867.9,903.4,860.0,890.0,890.1,881.23,495041,43624253145000.0,18255,194402,0.39270000000000005
DMART,EQ,890.1,899.85,911.55,892.0,899.2,902.45,902.57,262198,23665189610000.0,11483,110565,0.4217
DMART,EQ,902.45,903.9,917.45,903.0,905.5,907.8,909.26,241073,21919729060000.0,9280,81077,0.33630000000000004
DMART,EQ,907.8,909.95,941.8,906.3,922.0,920.8,926.08,674395,62454467595000.01,24311,160991,0.23870000000000002
DMART,EQ,920.8,917.2,931.8,908.0,924.0,926.25,919.25,401717,36927968900000.0,13098,96089,0.23920000000000002
